symbol,company_th,filing_status,market,sector,ipo_price,par_value,listing_date,offered_shares,gross_proceeds,total_expense,offered_ratio,existing_pct,exec_pct,total_assets,total_equity,revenue,net_income,biz_desc,fa_person,lead_uw,sec_trans_id
TNCC,บริษัท ไทยน้ำทิพย์ คอร์ปอเรชั่น จำกัด (มหาชน),Approved,SET,FOOD,,2.0,,612451687.0,,,,,,,,,,ธุรกิจจัดเตรียม บรรจุ จัดจำหน่าย และจำหน่ายเครื่องดื่มตามสัญ,-,-,691643
SUEN,บริษัท ซุน คอร์ป จำกัด (มหาชน),Submitted,SET,COMM,,0.5,,,,,,,,,,,,กลุ่มบริษัทดำเนินธุรกิจจำหน่ายวัสดุก่อสร้างและสินค้าทั่วไปที,-,-,754859
TIPAK,บริษัท อุตสาหกรรมไทยบรรจุภัณฑ์ จำกัด (มหาชน),Submitted,SET,PKG,,1.0,,,,,,,,,,,,ประกอบธุรกิจเป็นผู้พัฒนาผลิตภัณฑ์ผลิตและจำหน่ายบรรจุภัณฑ์ประ,-,-,759798
TEBP,บริษัท ไทยอีสเทิร์น ไบโอ พาวเวอร์ จำกัด (มหาชน),Approved,mai,,,1.0,,,,,,,,,,,,ธุรกิจของบริษัท แบ่งเป็น 3 ประเภทธุรกิจ คือ 1. ธุรกิจรับบริห,-,-,691772
PETPAL,บริษัท เพ็ทพัล โปรดักส์ จำกัด (มหาชน),Approved,mai,,,0.5,,,,,,,,,,,,รับจ้างผลิตอาหารสัตว์เลี้ยงชนิดแห้งแบบเม็ด (Dry Pet Food) ภา,-,-,698844
PHAT,บริษัท กลุ่มภัทร จำกัด (มหาชน),Approved,mai,,,,,98857264.0,,,,,,,,,,ธุรกิจสกัดน้ำมันปาล์มดิบและจำหน่ายผลิตภัณฑ์หลักจากการสกัดน้ำ,-,-,730096
QUICK,บริษัท ควิก ทรานส์ฟอร์เมชั่น จำกัด (มหาชน),Approved,mai,,,0.5,,,,,,,,,,,,ประกอบธุรกิจให้บริการที่ปรึกษาและติดตั้งระบบดิจิทัลแบบครบวงจ,-,-,731496
MER,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),Submitted,mai,,,0.5,,66000000.0,,,,,,,,,,ดำเนินธุรกิจร่วมพัฒนา ว่าจ้างผลิต นำเข้าและจัดจำหน่ายผลิตภัณ,-,-,746220
FLE,บริษัท ฟร้อนท์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน),Submitted,mai,,,0.5,,100000000.0,,,,,,,,,,จัดหาและจำหน่ายเครื่องสูบน้ำ วาล์ว ท่อ สะพานเบลีย์ เรือขุด แ,-,-,754066
