symbol,gross_proceeds,total_expense,offered_shares,offered_ratio_pct,existing_shares_pct,executive_total_pct,total_assets,total_liabilities,total_equity,revenue_latest,revenue_prev,net_income_latest,net_income_prev
KISS,540000000.0000,28801344.0000,152641600,25.400000,60.692236,66.000000,768795288.0000,412253936.0000,356541352.0000,1138014047.0000,863181953.0000,190138958.0000,93478926.0000
KJL,405000000.0000,20029000.0000,,,0.000000,74.140000,721878116.0000,517340004.0000,204538112.0000,839765803.0000,697878063.0000,94037562.0000,90966468.0000
KK,60720000.0000,7060497.0000,69000000,30.000000,0.000000,64.010000,322685968.0000,232594848.0000,90091119.0000,929303586.5000,938967864.0000,11531840.9600,16259723.0000
KLINIQ,1470000000.0000,50030000.0000,60000000,27.270000,0.000000,,824685699.0000,664183094.0000,160502605.0000,949933430.0000,1000553311.0000,129255394.0000,153760409.0000
KOOL,,,,,0.000000,,,,,,,,
KSL,,,,,0.000000,,,,,,,,
KTC,,,,,0.000000,,,,,,,,
KTIS,,,,,0.000000,,,,,,,,
KTMS,237573460.0000,11559991.0000,76636600,25.550000,0.000000,5.080000,388574019.0000,155848008.0000,232726011.0000,313790096.0000,214606896.0000,16803509.0000,-26628006.0000
KUMWEL,,,130000000,30.230000,0.000000,,441731760.8000,90283893.2100,351447867.5000,460626040.6000,426713030.0000,31988786.7300,66793838.0000
KUN,165000000.0000,9274426.0000,150000000,25.000000,0.000000,21.000000,818090688.0000,522804737.0000,295285951.0000,446246849.0000,449596445.0000,11558552.0000,10796444.0000
KWM,,,120000000,28.570000,0.000000,,,,,,,,
LALIN,,,,,0.000000,,,,,,,,
LDC,,,,,0.000000,,,,,,,,
LEO,410400000.0000,21172037.0000,120000000,37.500000,0.000000,33.970000,476960407.0000,266810099.0000,210150308.0000,1047207727.0000,1118153091.0000,47029607.0000,26859557.0000
LHK,,,,,0.000000,,,,,,,,
LIT,,,,,0.000000,,,,,,,,
LPH,,,,,0.000000,,,,,,,,
LTMH,250000000.0000,16203900.0000,50000000,25.000000,0.000000,40.994000,279208626.0000,135078326.0000,144130300.0000,231719891.0000,225768863.0000,35284824.0000,37577773.0000
LTS,165000000.0000,10979830.0000,55000000,26.620000,0.000000,,214068828.0000,77455868.0000,136612960.0000,227781742.0000,232105576.0000,31427040.0000,15012363.0000
LVT,,,,,0.000000,,,,,,,,
M,,,,,0.000000,,,,,,,,
MAGURO,341217180.0000,20292854.0000,34060200,27.030000,36.993324,59.440000,814360209.0000,547290837.0000,267069372.0000,1043553316.0000,664319732.0000,72477660.0000,31364138.0000
MAJOR,,,,,0.000000,,,,,,,,
MASTEC,114550000.0000,20776557.0000,79000000,26.330000,0.000000,73.670000,,,,,,,
MASTER,2300000000.0000,71000000.0000,65000000,27.080000,23.076923,49.220000,,,,,,,
MATCH,,,,,0.000000,,,,,,,,
MBAX,,,,,0.000000,,,,,,,,
MC,,,,,0.000000,,,,,,,,
MCA,198000000.0000,13874000.0000,60000000,26.090000,0.000000,17.170000,161180867.0000,62813484.0000,98367383.0000,372648765.0000,224073484.0000,16511588.0000,2741692.0000
MCOT,,,,,0.000000,,,,,,,,
MCS,,,,,0.000000,,,,,,,,
MEB,641250000.0000,21424875.0000,75500000,25.170000,70.198676,,677586283.0000,210387189.0000,467199094.0000,1456382612.0000,937236799.0000,275336956.0000,166047442.0000
MEDEZE,2412000000.0000,74790000.0000,268000000,25.090000,0.000000,24.530000,1019208161.0000,444220758.0000,574987403.0000,707367178.0000,644553283.0000,239565813.0000,147187508.0000
MEGA,,,,,0.000000,,,,,,,,
MENA,,,184000000,25.100000,0.000000,,916838323.0000,319152865.0000,597685458.0000,604656257.0000,699588178.0000,34796151.0000,37637147.0000
MFEC,,,,,0.000000,,,,,,,,
MGC,2226000000.0000,73403000.0000,280000000,25.000000,0.000000,,12328193717.0000,11049900282.0000,1278293435.0000,23076195532.0000,22238799837.0000,595611800.0000,311804017.0000
MGI,297000000.0000,12863250.0000,60000000,28.570000,0.000000,,185405818.0000,80991039.0000,104414779.0000,319612059.0000,344928205.0000,47851511.0000,29005574.0000
MGT,,,100000000,25.000000,0.000000,,362434748.0000,90339577.0000,272095171.0000,546865293.0000,,50151000.0000,
MICRO,622750000.0000,27202375.0000,235000000,25.130000,0.000000,62.100000,,,,,,,
MIDA,,,,,0.000000,,,,,,,,
MILL,,,,,0.000000,,,,,,,,
MITSIB,417500000.0000,15000000.0000,167000000,25.040000,0.000000,13.650000,,,,,,,
MJD,,,,,0.000000,,,,,,,,
MMM,287100000.0000,15180420.0000,64200000,21.400000,18.691589,3.390000,219920071.0000,29683294.0000,190236777.0000,360759695.0000,258162627.0000,80757921.0000,47741213.0000
MONO,,,,,0.000000,,,,,,,,
MOONG,,,,,0.000000,,,,,,,,
MOSHI,1260000000.0000,38250000.0000,75000000,25.000000,20.000000,43.600000,1992907534.0000,1039393527.0000,953514007.0000,1263839202.0000,1368391685.0000,131266787.0000,101128114.0000
MOTHER,120400000.0000,5633200.0000,86000000,30.070000,0.000000,64.960000,509697064.0000,375760352.0000,133936712.0000,1252897534.0000,1195467273.0000,15991373.0000,13840306.0000
MPJ,318000000.0000,16477000.0000,53000000,26.500000,0.000000,55.150100,1107978535.0000,753884190.0000,354094345.0000,910239874.0000,1300269196.0000,80453792.0000,88735867.0000
MRDIYT,3612000000.0000,208225211.0000,655000000,10.890000,35.877863,3.060000,15300063896.0000,10541722936.0000,4758340960.0000,16214402885.0000,12832234393.0000,1780250447.0000,1381074613.0000
MTW,250560000.0000,11851330.0000,87000000,25.820000,0.000000,52.520000,,,,,,,
MVP,,,70000000,35.000000,0.000000,,138193772.0000,72492072.0000,65701700.0000,284749419.0000,191520887.0000,29048854.0000,17886057.0000
NAM,808500000.0000,26796750.0000,181000000,25.860000,41.988950,59.480000,1697336837.0000,487034699.0000,1210302137.0000,1110689777.0000,985728197.6000,175714988.3000,170583455.7000
NAT,,,92000000,28.050000,0.000000,,501742164.0000,395082409.0000,106659755.0000,1098481229.0000,451359663.0000,107030034.0000,26684468.0000
