symbol,Market,Industry Group (กลุ่มอุตสาหกรรม),Sector (หมวดธุรกิจ)
PETPAL,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
PHAT,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
PHG,SET,บริการ,การแพทย์
PIN,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
PIS,mai,เทคโนโลยี,-
PLT,mai,บริการ,-
PLUS,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
PMC,mai,สินค้าอุตสาหกรรม,-
POLY,SET,สินค้าอุตสาหกรรม,ยานยนต์
PORT,SET,บริการ,ขนส่งและโลจิสติกส์
PQS,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
PR9,SET,บริการ,การแพทย์
PRAPAT,mai,สินค้าอุตสาหกรรม,-
PRI,mai,อสังหาริมทรัพย์และก่อสร้าง,-
PRM,SET,บริการ,ขนส่งและโลจิสติกส์
PROEN,mai,เทคโนโลยี,-
PROS,mai,อสังหาริมทรัพย์และก่อสร้าง,-
PRTR,SET,บริการ,บริการเฉพาะกิจ
PSP,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
PTC,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
QTCG,mai,อสังหาริมทรัพย์และก่อสร้าง,-
QUICK,mai,เทคโนโลยี,-
RBF,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
READY,mai,เทคโนโลยี,-
RPH,SET,บริการ,การแพทย์
RSP,SET,บริการ,พาณิชย์
RT,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง
SA,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
SAAM,mai,ทรัพยากร,-
SAF,mai,สินค้าอุตสาหกรรม,-
SAFE,SET,บริการ,การแพทย์
SAK,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
SAV,SET,บริการ,ขนส่งและโลจิสติกส์
SCGD,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
SCGP,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์
SCL,mai,สินค้าอุตสาหกรรม,-
SCM,SET,บริการ,พาณิชย์
SE,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
SECURE,mai,เทคโนโลยี,-
SEI,mai,สินค้าอุปโภคบริโภค,-
SFLEX,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์
SFT,mai,สินค้าอุตสาหกรรม,-
SGC,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
SHR,SET,บริการ,การท่องเที่ยวและสันทนาการ
SICT,mai,เทคโนโลยี,-
SINO,SET,บริการ,ขนส่งและโลจิสติกส์
SISB,SET,บริการ,บริการเฉพาะกิจ
